SKU,Product Name,French Description,Category,"French Category Name
",num_of_inv,Line,Color,Size,Volume,Product UPC,MSRP,MAP,NET Price,List Price,Brand Code,Brand Discount Y/N,Brand Discount,Attention: Net Price Change,Attention: New Catalog SKU
07933X-004,ADVANCE WB SEMI GL -BASE 3,{N/A},ADVANCE,ADVANCE,14,00793,3X,004,gallon,023906048327,$32.99,$28.99,$14.78,$15.08,BMC,Y,-1.25%,N,N
07934X-001,ADVANCE WB SEMI GL -BASE 4,{N/A},ADVANCE,ADVANCE,16,00793,4X,001,quart,023906048334,$81.99,$72.99,$35.13,$35.85,BMC,Y,-1.25%,N,N
07934X-004,ADVANCE WB SEMI GL -BASE 4,{N/A},ADVANCE,ADVANCE,28,00793,4X,004,gallon,023906048341,$32.99,$28.99,$14.05,$14.34,BMC,Y,-1.25%,N,N
079380-001,ADVANCE WB SEMI -BLACK,{N/A},ADVANCE,ADVANCE,11,00793,80,001,quart,023906176976,$81.99,$72.99,$46.19,$47.13,BMC,Y,-1.25%,N,N
079380-004,ADVANCE WB SEMI -BLACK,{N/A},ADVANCE,ADVANCE,33,00793,80,004,gallon,023906176983,$32.99,$28.99,$18.47,$18.85,BMC,Y,-1.25%,N,N
0P0601-001,ALKYD METAL PRIMER -WHITE,{N/A},SSHP METAL PRIMERS,SUPER SPEC HP APPRET POUR METAUX,44,00P06,01,001,quart,023906002077,,,$36.24,$41.96,BMP,Y,-13%,N,N
0P0601-005,ALKYD METAL PRIMER -WHITE,{N/A},SSHP METAL PRIMERS,SUPER SPEC HP APPRET POUR METAUX,44,00P06,01,005,,023906002084,,,$176.33,$204.21,BMP,Y,-13%,N,N
0P0620-001,ALKYD METAL PRIMER -RED,{N/A},SSHP METAL PRIMERS,SUPER SPEC HP APPRET POUR METAUX,45,00P06,20,001,quart,023906002091,,,$36.24,$41.96,BMP,Y,-13%,N,N
0P0620-005,ALKYD METAL PRIMER -RED,{N/A},SSHP METAL PRIMERS,SUPER SPEC HP APPRET POUR METAUX,39,00P06,20,005,,023906002107,,,$176.33,$204.21,BMP,Y,-13%,N,N
0P0670-001,ALKYD METAL PRIMER -GRAY,{N/A},SSHP METAL PRIMERS,SUPER SPEC HP APPRET POUR METAUX,19,00P06,70,001,quart,023906002138,,,$36.24,$41.96,BMP,Y,-13%,N,N
0P0670-005,ALKYD METAL PRIMER -GRAY,{N/A},SSHP METAL PRIMERS,SUPER SPEC HP APPRET POUR METAUX,37,00P06,70,005,,023906002169,,,$176.33,$204.21,BMP,Y,-13%,N,N
0P2208-001,URETHANE ALK GLS EN-SAFETY WH,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,18,00P22,08,001,quart,023906001131,,,$35.23,$40.81,BMP,Y,-13%,N,N
0P2208-004,URETHANE ALK GLS EN-SAFETY WH,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,44,00P22,08,004,gallon,023906001148,,,$15.85,$18.36,BMP,Y,-13%,N,N
0P2208-005,URETHANE ALK GLS EN-SAFETY WH,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,20,00P22,08,005,,023906001155,,,$163.72,$189.61,BMP,Y,-13%,N,N
0P2215-001,URETHANE ALK GLS EN-SAFETY YEL,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,35,00P22,15,001,quart,023906001162,,,$35.23,$40.81,BMP,Y,-13%,N,N
0P2215-005,URETHANE ALK GLS EN-SAFETY YEL,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,20,00P22,15,005,,023906001179,,,$163.72,$189.61,BMP,Y,-13%,N,N
0P221B-001,URETHANE ALK GLS EN-PASTEL BSE,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,21,00P22,1B,001,quart,023906001322,,,$33.86,$39.22,BMP,Y,-13%,N,N
0P221B-004,URETHANE ALK GLS EN-PASTEL BSE,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,12,00P22,1B,004,gallon,023906001339,,,$15.24,$17.66,BMP,Y,-13%,N,N
0P221B-005,URETHANE ALK GLS EN-PASTEL BSE,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,10,00P22,1B,005,,023906001346,,,$156.84,$181.64,BMP,Y,-13%,N,N
0P2221-001,URETHANE ALK GLS EN-SAFETY RED,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,25,00P22,21,001,quart,023906001186,,,$35.23,$40.81,BMP,Y,-13%,N,N
0P2221-005,URETHANE ALK GLS EN-SAFETY RED,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,5,00P22,21,005,,023906001193,,,$163.72,$189.61,BMP,Y,-13%,N,N
0P222B-001,URETHANE ALK GLS EN-MEDIUM BSE,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,21,00P22,2B,001,quart,023906001353,,,$32.64,$37.80,BMP,Y,-13%,N,N
0P222B-004,URETHANE ALK GLS EN-MEDIUM BSE,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,28,00P22,2B,004,gallon,023906001360,,,$14.70,$17.02,BMP,Y,-13%,N,N
0P222B-005,URETHANE ALK GLS EN-MEDIUM BSE,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,32,00P22,2B,005,,023906001377,,,$150.76,$174.60,BMP,Y,-13%,N,N
0P2235-001,URETHANE ALK GLS EN-SAFETY BL,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,20,00P22,35,001,quart,023906001209,,,$35.23,$40.81,BMP,Y,-13%,N,N
0P223B-001,URETHANE ALK GLS EN-DEEP BASE,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,5,00P22,3B,001,quart,023906001384,,,$31.00,$35.90,BMP,Y,-13%,N,N
0P223B-004,URETHANE ALK GLS EN-DEEP BASE,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,26,00P22,3B,004,gallon,023906001391,,,$13.94,$16.15,BMP,Y,-13%,N,N
0P223B-005,URETHANE ALK GLS EN-DEEP BASE,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,12,00P22,3B,005,,023906001407,,,$142.55,$165.09,BMP,Y,-13%,N,N
0P224B-001,URETHANE ALK GLS EN-ULTRA BASE,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,42,00P22,4B,001,quart,023906001414,,,$29.51,$34.17,BMP,Y,-13%,N,N
0P224B-004,URETHANE ALK GLS EN-ULTRA BASE,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,14,00P22,4B,004,gallon,023906001421,,,$13.27,$15.37,BMP,Y,-13%,N,N
0P224B-005,URETHANE ALK GLS EN-ULTRA BASE,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,13,00P22,4B,005,,023906001438,,,$135.06,$156.41,BMP,Y,-13%,N,N
0P2260-001,URETHANE ALK GLS EN-BROWN,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,28,00P22,60,001,quart,023906001216,,,$35.23,$40.81,BMP,Y,-13%,N,N
0P2264-001,URETHANE ALK GLS EN-BRONZETONE,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,19,00P22,64,001,quart,023906001223,,,$35.23,$40.81,BMP,Y,-13%,N,N
0P2265-001,URETHANE ALK GLS EN-SAFETY OR,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,16,00P22,65,001,quart,023906001247,,,$35.23,$40.81,BMP,Y,-13%,N,N
0P2273-001,URETHANE ALK GLS EN-PLAT GRAY,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,14,00P22,73,001,quart,023906001254,,,$35.23,$40.81,BMP,Y,-13%,N,N
0P2273-005,URETHANE ALK GLS EN-PLAT GRAY,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,41,00P22,73,005,,023906001261,,,$163.72,$189.61,BMP,Y,-13%,N,N
0P2275-001,URETHANE ALK GLS EN-BTLSH GRAY,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,31,00P22,75,001,quart,023906001278,,,$35.23,$40.81,BMP,Y,-13%,N,N
0P2275-005,URETHANE ALK GLS EN-BTLSH GRAY,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,25,00P22,75,005,,023906001285,,,$163.72,$189.61,BMP,Y,-13%,N,N
0P2278-001,URETHANE ALK GLS EN-ALUMINIUM ,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,38,00P22,78,001,quart,023906008871,,,$35.23,$40.81,BMP,Y,-13%,N,N
0P2282-001,URETHANE ALK GLS EN-SAFETY BLK,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,25,00P22,82,001,quart,023906001292,,,$35.23,$40.81,BMP,Y,-13%,N,N
0P2282-004,URETHANE ALK GLS EN-SAFETY BLK,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,42,00P22,82,004,gallon,023906001308,,,$15.85,$18.36,BMP,Y,-13%,N,N
0P2282-005,URETHANE ALK GLS EN-SAFETY BLK,{N/A},SSHP URETHANES,SUPER SPEC HP URETHANES,28,00P22,82,005,,023906001315,,,$163.72,$189.61,BMP,Y,-13%,N,N
0P2301-001,DTM ALK LOW LUSTRE -WHITE,{N/A},SSHP DTM,SUPER SPEC HP D S M,18,00P23,01,001,quart,023906058128,,,$51.16,$59.25,BMP,Y,-13%,N,N
0P2301-004,DTM ALK LOW LUSTRE -WHITE,{N/A},SSHP DTM,SUPER SPEC HP D S M,27,00P23,01,004,gallon,023906058135,,,$20.48,$23.71,BMP,Y,-13%,N,N
0P231B-001,DTM ALK LOW LUSTRE -PASTEL BSE,{N/A},SSHP DTM,SUPER SPEC HP D S M,10,00P23,1B,001,quart,023906058142,,,$49.81,$57.69,BMP,Y,-13%,N,N
0P231B-004,DTM ALK LOW LUSTRE -PASTEL BSE,{N/A},SSHP DTM,SUPER SPEC HP D S M,15,00P23,1B,004,gallon,023906058159,,,$19.92,$23.07,BMP,Y,-13%,N,N
0P232B-001,DTM ALK LOW LUSTRE -MEDIUM BSE,{N/A},SSHP DTM,SUPER SPEC HP D S M,28,00P23,2B,001,quart,023906058166,,,$48.59,$56.28,BMP,Y,-13%,N,N
0P232B-004,DTM ALK LOW LUSTRE -MEDIUM BSE,{N/A},SSHP DTM,SUPER SPEC HP D S M,29,00P23,2B,004,gallon,023906058173,,,$19.43,$22.51,BMP,Y,-13%,N,N
0P233B-001,DTM ALK LOW LUSTRE -DEEP BASE,{N/A},SSHP DTM,SUPER SPEC HP D S M,39,00P23,3B,001,quart,023906058180,,,$46.94,$54.36,BMP,Y,-13%,N,N
0P233B-004,DTM ALK LOW LUSTRE -DEEP BASE,{N/A},SSHP DTM,SUPER SPEC HP D S M,42,00P23,3B,004,gallon,023906058197,,,$18.98,$21.98,BMP,Y,-13%,N,N
0P234B-001,DTM ALK LOW LUSTRE -ULTRA BASE,{N/A},SSHP DTM,SUPER SPEC HP D S M,9,00P23,4B,001,quart,023906058203,,,$45.47,$52.65,BMP,Y,-13%,N,N
0P234B-004,DTM ALK LOW LUSTRE -ULTRA BASE,{N/A},SSHP DTM,SUPER SPEC HP D S M,15,00P23,4B,004,gallon,023906058210,,,$18.17,$21.05,BMP,Y,-13%,N,N
0P2360-001,DTM ALK LOW LUSTRE -BRONZETONE,{N/A},SSHP DTM,SUPER SPEC HP D S M,20,00P23,60,001,quart,023906058227,,,$51.16,$59.25,BMP,Y,-13%,N,N
0P2360-004,DTM ALK LOW LUSTRE -BRONZETONE,{N/A},SSHP DTM,SUPER SPEC HP D S M,44,00P23,60,004,gallon,023906058234,,,$20.48,$23.71,BMP,Y,-13%,N,N
0P2380-001,DTM ALK LOW LUSTRE -BLACK,{N/A},SSHP DTM,SUPER SPEC HP D S M,31,00P23,80,001,quart,023906058241,,,$51.16,$59.25,BMP,Y,-13%,N,N
0P2380-004,DTM ALK LOW LUSTRE -BLACK,{N/A},SSHP DTM,SUPER SPEC HP D S M,37,00P23,80,004,gallon,023906058258,,,$20.48,$23.71,BMP,Y,-13%,N,N
0P2408-001,DTM ALKYD SEMI GLOS-SAFETY WHT,{N/A},SSHP DTM,SUPER SPEC HP D S M,21,00P24,08,001,quart,023906001551,,,$44.71,$51.78,BMP,Y,-13%,N,N
0P2408-005,DTM ALKYD SEMI GLOS-SAFETY WHT,{N/A},SSHP DTM,SUPER SPEC HP D S M,12,00P24,08,005,,023906001568,,,$217.37,$251.73,BMP,Y,-13%,N,N
0P241B-001,DTM ALKYD SEMI GLOS-PASTEL BSE,{N/A},SSHP DTM,SUPER SPEC HP D S M,34,00P24,1B,001,quart,023906001599,,,$43.34,$50.20,BMP,Y,-13%,N,N
0P241B-005,DTM ALKYD SEMI GLOS-PASTEL BSE,{N/A},SSHP DTM,SUPER SPEC HP D S M,9,00P24,1B,005,,023906016050,,,$210.54,$243.83,BMP,Y,-13%,N,N
0P242B-001,DTM ALKYD SEMI GLOS-MEDIUM BSE,{N/A},SSHP DTM,SUPER SPEC HP D S M,13,00P24,2B,001,quart,023906001612,,,$42.14,$48.81,BMP,Y,-13%,N,N
0P242B-005,DTM ALKYD SEMI GLOS-MEDIUM BSE,{N/A},SSHP DTM,SUPER SPEC HP D S M,45,00P24,2B,005,,023906001629,,,$204.52,$236.86,BMP,Y,-13%,N,N
0P243B-001,DTM ALKYD SEMI GLOS-DEEP BASE,{N/A},SSHP DTM,SUPER SPEC HP D S M,11,00P24,3B,001,quart,023906001636,,,$40.50,$46.91,BMP,Y,-13%,N,N
0P243B-005,DTM ALKYD SEMI GLOS-DEEP BASE,{N/A},SSHP DTM,SUPER SPEC HP D S M,43,00P24,3B,005,,023906001643,,,$196.33,$227.37,BMP,Y,-13%,N,N
0P244B-001,DTM ALKYD SEMI GLOS-ULTRA BASE,{N/A},SSHP DTM,SUPER SPEC HP D S M,33,00P24,4B,001,quart,023906001650,,,$39.00,$45.16,BMP,Y,-13%,N,N
0P244B-005,DTM ALKYD SEMI GLOS-ULTRA BASE,{N/A},SSHP DTM,SUPER SPEC HP D S M,13,00P24,4B,005,,023906001667,,,$188.74,$218.59,BMP,Y,-13%,N,N
0P2482-001,DTM ALKYD SEMI GLOS-SAFETY BLK,{N/A},SSHP DTM,SUPER SPEC HP D S M,22,00P24,82,001,quart,023906001575,,,$44.71,$51.78,BMP,Y,-13%,N,N
100.11.5,CORONADO PVA PRIMER,{N/A},CORONADO PVA PRIMER,APPRETS PVA CORONADO,8,0UA51,11,005,,023906766436,,,$44.84,$45.18,BMN,N,0%,N,N
105.1.5,SK5000 ALKYD DF -WHITE,{N/A},PRO PREP COR,PRODUITS PROF PREPARATION CORONADO,38,0TV89,01,005,,755837002795,,,$99.85,$122.68,COR,Y,-18%,N,N
112.1.5,SK5000 LTX S/G DF -WHITE,{N/A},PRO PREP COR,PRODUITS PROF PREPARATION CORONADO,37,0TL54,01,005,,755837003358,,,$92.88,$114.12,COR,Y,-18%,N,N
1130.1.1,SK5000 LS EGGSHELL -WHITE,LATEX SK5000 VELOUTÉ,SUPER KOTE 5000,SUPER KOTE 5000,28,0HV44,03,001,quart,755837400218,,,$20.14,$24.74,COR,Y,-18%,N,N
1130.1.5,SK5000 LS EGGSHELL -WHITE,LATEX SK5000 VELOUTÉ,SUPER KOTE 5000,SUPER KOTE 5000,30,0HV44,03,005,,755837400225,,,$95.84,$117.76,COR,Y,-18%,N,N
1130.32.1,SK 5000 LS EGGSHELL-PASTEL BSE,{N/A},SUPER KOTE 5000,SUPER KOTE 5000,45,0HV44,05,001,quart,755837387557,,,$19.29,$23.71,COR,Y,-18%,N,N
1130.32.5,SK 5000 LS EGGSHELL-PASTEL BSE,{N/A},SUPER KOTE 5000,SUPER KOTE 5000,36,0HV44,05,005,,755837387564,,,$91.66,$112.62,COR,Y,-18%,N,N
1130.33.1,SK5000 LS EGGSHELL -TINT BASE,SK5000 PL VELOUTÉ - B FONCÉE,SUPER KOTE 5000,SUPER KOTE 5000,19,0HV44,11,001,quart,755837399994,,,$17.98,$22.10,COR,Y,-18%,N,N
1130.33.5,SK5000 LS EGGSHELL -TINT BASE,SK5000 PL VELOUTÉ - B FONCÉE,SUPER KOTE 5000,SUPER KOTE 5000,31,0HV44,11,005,,755837400003,,,$85.15,$104.62,COR,Y,-18%,N,N
1160.1.1,SK5000 ACR SATIN -WHITE,{N/A},SUPER KOTE 5000,SUPER KOTE 5000,18,0TR34,01,001,quart,755837115914,,,$20.91,$25.70,COR,Y,-18%,N,N
1160.1.5,SK5000 ACR SATIN -WHITE,{N/A},SUPER KOTE 5000,SUPER KOTE 5000,34,0TR34,01,005,,755837115891,,,$94.87,$116.57,COR,Y,-18%,N,N
1160.32.1,SK5000 ACR SATIN -PASTEL BSE,{N/A},SUPER KOTE 5000,SUPER KOTE 5000,27,0TR34,32,001,quart,755837115945,,,$20.07,$24.66,COR,Y,-18%,N,N
1160.32.5,SK5000 ACR SATIN -PASTEL BSE,{N/A},SUPER KOTE 5000,SUPER KOTE 5000,28,0TR34,32,005,,755837115938,,,$90.69,$111.44,COR,Y,-18%,N,N
1160.33.1,SK5000 ACR SATIN -TINT BASE,{N/A},SUPER KOTE 5000,SUPER KOTE 5000,29,0TR34,33,001,quart,755837115976,,,$18.77,$23.06,COR,Y,-18%,N,N
1160.33.5,SK5000 ACR SATIN -TINT BASE,{N/A},SUPER KOTE 5000,SUPER KOTE 5000,34,0TR34,33,005,,755837386567,,,$84.16,$103.41,COR,Y,-18%,N,N
1160.34.1,SK5000 ACR SATIN -DEEP BASE,{N/A},SUPER KOTE 5000,SUPER KOTE 5000,15,0TR34,34,001,quart,755837115990,,,$17.46,$21.45,COR,Y,-18%,N,N
1160.36.1,SK5000 ACR SATIN -ACCENT BSE,{N/A},SUPER KOTE 5000,SUPER KOTE 5000,6,0TR34,36,001,quart,755837385676,,,$13.77,$16.91,COR,Y,-18%,N,N
1180.109.1,MULTAPPLY ACR GL EN -BSHIP GRA,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,40,0UA52,09,001,quart,023906772178,,,$32.53,$39.98,COR,Y,-18%,N,N
1180.1.1,MULTAPPLY ACR GL EN -WHT TINT,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,43,0UA52,01,001,quart,023906772116,,,$31.20,$38.34,COR,Y,-18%,N,N
1180.136.1,MULTAPPLY ACR GL EN-SAFETY RED,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,38,0UA52,13,001,quart,023906772185,,,$32.53,$39.98,COR,Y,-18%,N,N
1180.136.4,MULTAPPLY ACR GL EN-SAFETY RED,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,12,0UA52,13,004,gallon,023906772208,,,$11.91,$14.63,COR,Y,-18%,N,N
1180.1.4,MULTAPPLY ACR GL EN -WHT TINT,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,35,0UA52,01,004,gallon,023906772130,,,$11.56,$14.21,COR,Y,-18%,N,N
1180.1.5,MULTAPPLY ACR GL EN -WHT TINT,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,40,0UA52,01,005,,023906772154,,,$153.27,$188.33,COR,Y,-18%,N,N
1180.151.1,MULTAPPLY ACR GL EN-SAFETY YEL,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,5,0UA52,51,001,quart,023906772222,,,$32.53,$39.98,COR,Y,-18%,N,N
1180.151.4,MULTAPPLY ACR GL EN-SAFETY YEL,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,15,0UA52,51,004,gallon,023906772246,,,$11.91,$14.63,COR,Y,-18%,N,N
1180.201.1,MULTAPPLY ACR GL EN -SILVER GR,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,37,0UA52,70,001,quart,023906772307,,,$32.53,$39.98,COR,Y,-18%,N,N
1180.2.1,MULTAPPLY ACR GL EN -BLACK,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,11,0UA52,02,001,quart,023906772260,,,$32.53,$39.98,COR,Y,-18%,N,N
1180.2.4,MULTAPPLY ACR GL EN-BLACK,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,5,0UA52,02,004,gallon,023906772284,,,$11.91,$14.63,COR,Y,-18%,N,N
1180.33.1,MULTAPPLY ACR GL EN -TINT BASE,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,42,0UA52,33,001,quart,023906772314,,,$29.86,$36.69,COR,Y,-18%,N,N
1180.33.4,MULTAPPLY ACR GL EN-TINT BASE,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,27,0UA52,33,004,gallon,023906772338,,,$11.24,$13.80,COR,Y,-18%,N,N
1180.36.1,MULTAPPLY ACR GL EN -ACCENT BS,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,5,0UA52,36,001,quart,023906772352,,,$21.82,$26.80,COR,Y,-18%,N,N
1180.36.4,MULTAPPLY ACR GL EN -ACCENT BS,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,44,0UA52,36,004,gallon,023906772376,,,$9.22,$11.33,COR,Y,-18%,N,N
1190.1.1,MULTAPPLY ACR SG EN-WHT TINT,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,9,0UA53,01,001,quart,023906772390,,,$30.00,$36.86,COR,Y,-18%,N,N
1190.11.1,MULTAPPLY ACR SG EN-WHITE,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,18,0UA53,11,001,quart,023906785130,,,$31.34,$38.51,COR,Y,-18%,N,N
1190.11.4,MULTAPPLY ACR SG EN-WHITE,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,44,0UA53,11,004,gallon,023906785147,,,$11.91,$14.63,COR,Y,-18%,N,N
1190.11.5,MULTAPPLY ACR SG EN-WHITE,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,30,0UA53,11,005,,023906785154,,,$153.58,$188.71,COR,Y,-18%,N,N
1190.1.4,MULTAPPLY ACR SG EN-WHT TINT,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,22,0UA53,01,004,gallon,023906772413,,,$11.56,$14.21,COR,Y,-18%,N,N
1190.1.5,MULTAPPLY ACR SG EN-WHT TINT,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,44,0UA53,01,005,,023906780357,,,$147.01,$180.63,COR,Y,-18%,N,N
1190.2.1,MULTAPPLY ACR SG EN-BLACK,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,40,0UA53,02,001,quart,023906772437,,,$31.34,$38.51,COR,Y,-18%,N,N
1190.2.4,MULTAPPLY ACR SG EN-BLACK,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,40,0UA53,02,004,gallon,023906772451,,,$11.91,$14.63,COR,Y,-18%,N,N
1190.33.1,MULTAPPLY ACR SG EN-TINT BASE,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,41,0UA53,33,001,quart,023906772475,,,$28.66,$35.22,COR,Y,-18%,N,N
1190.33.4,MULTAPPLY ACR SG EN-TINT BASE,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,26,0UA53,33,004,gallon,023906772499,,,$11.24,$13.80,COR,Y,-18%,N,N
1190.36.1,MULTAPPLY ACR SG EN- ACCENT BA,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,9,0UA53,33,001,quart,023906772512,,,$20.61,$25.33,COR,Y,-18%,N,N
1190.36.4,MULTAPPLY ACR SG EN- ACCENT BA,{N/A},MULTAPPLY,APPLIQUER MULTIPLES,8,0UA53,36,004,gallon,023906772536,,,$9.22,$11.33,COR,Y,-18%,N,N
1203.1.1,CORONADO DTC SATIN - WHITE,{N/A},CORONADO SPECIALTY,SPECIALITE CORONADO,43,0UA70,01,001,quart,023906779993,,,$22.36,$27.48,COR,Y,-18%,N,N
1203.1.5,CORONADO DTC SATIN -WHITE,{N/A},CORONADO SPECIALTY,SPECIALITE CORONADO,19,0UA70,01,005,,023906780012,,,$103.66,$127.36,COR,Y,-18%,N,N
1203.32.1,CORONADO DTC SATIN -PASTEL BAS,{N/A},CORONADO SPECIALTY,SPECIALITE CORONADO,17,0UA70,32,001,quart,023906780029,,,$21.01,$25.82,COR,Y,-18%,N,N
1203.32.5,CORONADO DTC SATIN - PASTEL BA,{N/A},CORONADO SPECIALTY,SPECIALITE CORONADO,15,0UA70,32,005,,023906780043,,,$96.91,$119.07,COR,Y,-18%,N,N
1203.33.1,CORONADO DTC SATIN - TINT BASE,{N/A},CORONADO SPECIALTY,SPECIALITE CORONADO,25,0UA70,33,001,quart,023906780050,,,$19.66,$24.16,COR,Y,-18%,N,N
1203.36.1,CORONADO DTC SATIN - ACCENT BA,{N/A},CORONADO SPECIALTY,SPECIALITE CORONADO,21,0UA70,36,001,quart,023906780067,,,$11.56,$14.21,COR,Y,-18%,N,N
1204.1.1,CORONADO DTC SEMI -WHITE,{N/A},CORONADO SPECIALTY,SPECIALITE CORONADO,45,0UA71,01,001,quart,023906780074,,,$23.52,$28.90,COR,Y,-18%,N,N
1204.1.5,CORONADO DTC SEMI -WHITE,{N/A},CORONADO SPECIALTY,SPECIALITE CORONADO,35,0UA71,01,005,,023906780098,,,$109.43,$134.46,COR,Y,-18%,N,N
1204.32.1,CORONADO DTC SEMI -PASTEL BASE,{N/A},CORONADO SPECIALTY,SPECIALITE CORONADO,42,0UA71,32,001,quart,023906780104,,,$22.17,$27.24,COR,Y,-18%,N,N
1204.32.5,CORONADO DTC SEMI -PASTEL BASE,{N/A},CORONADO SPECIALTY,SPECIALITE CORONADO,45,0UA71,32,005,,023906780128,,,$102.66,$126.15,COR,Y,-18%,N,N
1204.33.1,CORONADO DTC SEMI -TINT BASE,{N/A},CORONADO SPECIALTY,SPECIALITE CORONADO,21,0UA71,33,001,quart,023906780135,,,$20.81,$25.57,COR,Y,-18%,N,N
1204.36.1,CORONADO DTC SEMI -ACCENT BASE,{N/A},CORONADO SPECIALTY,SPECIALITE CORONADO,39,0UA71,36,001,quart,023906780142,,,$12.72,$15.63,COR,Y,-18%,N,N
13.32.1,RUST SCAT SEMI GLOS-PASTEL BSE,{N/A},RUST SCAT,RUST SCAT,17,0TY18,32,001,quart,755837386802,,,$37.74,$46.38,COR,Y,-18%,N,N
13.32.4,RUST SCAT SEMI GLOS-PASTEL BSE,{N/A},RUST SCAT,RUST SCAT,38,0TY18,32,004,gallon,755837386819,,,$14.46,$17.77,COR,Y,-18%,N,N
13.33.4,RUST SCAT SEMI GLOS-TINT BASE,{N/A},RUST SCAT,RUST SCAT,45,0TY18,33,004,gallon,755837386758,,,$13.90,$17.09,COR,Y,-18%,N,N
13.34.4,RUST SCAT SEMI GLOS-DEEP BASE,{N/A},RUST SCAT,RUST SCAT,30,0TY18,34,004,gallon,755837386772,,,$13.13,$16.13,COR,Y,-18%,N,N
13.36.4,RUST SCAT SEMI GLOS-ACCENT BSE,{N/A},RUST SCAT,RUST SCAT,9,0TY18,36,004,gallon,755837386796,,,$11.42,$14.04,COR,Y,-18%,N,N
136.1.1,FINAL TOUCH FLAT -WHITE,{N/A},FINAL TOUCH,FINAL TOUCH,36,0UA80,01,001,quart,023906816391,,,$13.27,$16.31,COR,Y,-18%,N,N
136.1.5,FINAL TOUCH FLAT -WHITE,{N/A},FINAL TOUCH,FINAL TOUCH,6,0UA80,01,005,,023906816414,,,$61.58,$75.67,COR,Y,-18%,N,N
136.32.1,FINAL TOUCH FLAT -PASTEL BASE,{N/A},FINAL TOUCH,FINAL TOUCH,39,0UA80,32,001,quart,023906816438,,,$12.57,$15.44,COR,Y,-18%,N,N
136.32.5,FINAL TOUCH FLAT -PASTEL BASE,{N/A},FINAL TOUCH,FINAL TOUCH,39,0UA80,32,005,,023906816452,,,$58.02,$71.29,COR,Y,-18%,N,N
144.BU.4,4385 BURNT UMBER QT,OMBRE BRÛLÉE 4385,COLORANT CTECH,COLORANTS COROTECH,7,0TL56,BU,004,gallon,080047762406,,,$28.15,$28.36,INS,N,0%,N,N
